publication_date,study_design_zh,title,research_idea_en,doi,article_url
2026-01-26,横断面研究,Consumer Food Purchases After Glucagon-Like Peptide-1 Receptor Agonist Initiation,This cross-sectional study examines whether initiating glucagon-like peptide-1 receptor agonists (GLP-1RAs) for treatment is associated with changes in the nutritional quality and processing level of supermarket purchases.,10.1001/jamanetworkopen.2025.55449,https://doi.org/10.1001/jamanetworkopen.2025.55449
2026-01-26,队列研究,"Cumulative Lifespan Stress, Inflammation, and Racial Disparities in Mortality Between Black and White Adults",Objective: To evaluate whether greater cumulative lifespan stress Design/data: This longitudinal cohort study (St Louis Personality and Aging Network) recruited,10.1001/jamanetworkopen.2025.54701,https://doi.org/10.1001/jamanetworkopen.2025.54701
2026-01-26,队列研究,Deep Learning Prediction of Childhood Myopia Progression Using Fundus Image and Refraction Data,"Objective: To develop and validate a quantitative method, based on a deep learning method and using only fundus images and baseline refraction data, to predict both myopia progression trajectory and high myopia risk in schoolchildren Design/data: This longitudinal school-based cohort study (Anyang Childhood Eye Study) was conducted from February 2012 to May 2018, with annual follow-up examinations from February 2013 to May 2018.",10.1001/jamanetworkopen.2025.53543,https://doi.org/10.1001/jamanetworkopen.2025.53543
2026-01-26,横断面研究,"Medical Expenditures by Body Mass Index Among Privately Insured US Adults Aged 18 to 64 Years, 2022",This cross-sectional study estimates body mass index–associated medical expenditures among privately insured US adults in 2022.,10.1001/jamanetworkopen.2025.55436,https://doi.org/10.1001/jamanetworkopen.2025.55436
2026-01-26,临床试验,Mobile Telemedicine for Treating Chronic Hepatitis C Among Rural People Who Inject Drugs,"Objective: To test whether a mobile telemedicine-based HCV treatment Design/data: This open-label, randomized, parallel-group clinical trial compared mobile telemedicine care (MTC) for HCV treatment with enhanced usual care (EUC), both integrated with van-based syringe services, from April 21, 2022, to September 13, 2024",10.1001/jamanetworkopen.2025.55125,https://doi.org/10.1001/jamanetworkopen.2025.55125
2026-01-26,横断面研究,Pediatric Asthma in a Universally Insured Military Population,"Objective: To investigate racial and ethnic differences in asthma diagnoses, potentially avoidable hospitalizations (PAHs) or emergency department (ED) visits, specialist visits, and asthma-related prescriptions among Military Health System (MHS) pediatric beneficiaries Design/data: This cross-sectional study investigated the prevalence of pediatric asthma among MHS beneficiaries enrolled in TRICARE Prime during fiscal year (FY) 2023.",10.1001/jamanetworkopen.2025.56740,https://doi.org/10.1001/jamanetworkopen.2025.56740
2026-01-26,横断面研究,Trends in Urgent Care Utilization Among Medicare Beneficiaries From 2012 to 2019,"Objective: To examine UC utilization among older adults and assess whether utilization rates varied by beneficiary sociodemographic and community characteristics Design/data: This cross-sectional study used data from a 20% national sample of fee-for-service Medicare beneficiaries aged 65 years or older using UC centers from January 1, 2012, to December 31, 2019.",10.1001/jamanetworkopen.2025.55345,https://doi.org/10.1001/jamanetworkopen.2025.55345
2026-01-26,队列研究,"Umbilical Cord Blood pH Level, Apgar Score, and Attention-Deficit/Hyperactivity Disorder","Objective: To identify full-term and near-term newborns exposed to hypoxia by combining the Apgar score and the umbilical cord blood pH level and to investigate their association with ADHD Design/data: This cohort study, with follow-up from birth until December 31, 2022, identified all singleton newborns with a gestational age of 35 weeks or more, without major malformations, born between January 1, 2004, and December 31, 2018, using a Danish nationwide registry.",10.1001/jamanetworkopen.2025.54672,https://doi.org/10.1001/jamanetworkopen.2025.54672
2026-01-27,随机临床试验,Acupuncture for Migraine Without Aura and Connection-Based Efficacy Prediction,"Objective: To evaluate the clinical efficacy of real acupuncture and sham acupuncture in MWOA, and to identify acupuncture-response brain connectivity patterns using CPM analysis of baseline functional magnetic resonance imaging (fMRI) data Design/data: This single-blinded randomized clinical trial was conducted from June 2021 to June 2023 at Beijing Hospital of Traditional Chinese Medicine in China.",10.1001/jamanetworkopen.2025.55454,https://doi.org/10.1001/jamanetworkopen.2025.55454
2026-01-27,调查研究,Career Plans Among Graduating US Emergency Medicine Residents,"Objective: To examine the career plans, anticipated career durations, and key factors associated with the career decisions of graduating US EM residents Design/data: This cross-sectional survey study, which sampled graduating residents from all Accreditation Council for Graduate Medical Education–accredited categorical EM programs, was conducted after the 2023 American Board of Emergency Medicine In-Training Examination.",10.1001/jamanetworkopen.2025.55376,https://doi.org/10.1001/jamanetworkopen.2025.55376
2026-01-27,卫生经济学评价,Cost-Effectiveness of Acceptable-Quality Deceased Donor Kidneys for Transplant in Older Candidates,Objective: To assess the cost-effectiveness of increasing the kidney transplantation rate among older patients with end-stage kidney disease by using acceptable-quality deceased donor kidneys Design/data: This economic evaluation with cost-effectiveness analysis uses a microsimulation model of the kidney transplantation process for a synthetic cohort of adult candidates aged 65 years or older on the transplant waiting list between 2010 and 2019 over their remaining lifetimes.,10.1001/jamanetworkopen.2025.55428,https://doi.org/10.1001/jamanetworkopen.2025.55428
2026-01-27,队列研究,"Financial Assistance Policy, Hospital Charity Care, and Medical Debt in Collections","Objective: To estimate the association of Oregon’s FAP with medical debt in collections and hospitals’ charity care (ie, free or discounted care for patients qualified for FAPs) and bad debt (ie, total amount of uncollectible patient accounts) expenditures Design/data: This cohort study examined county- and hospital-level difference-in-differences and event study models covering the period from 2015 to 2022.",10.1001/jamanetworkopen.2025.55698,https://doi.org/10.1001/jamanetworkopen.2025.55698
2026-01-27,队列研究,Follow-Up Assessment of Adherence to Methodological Standards in National Inpatient Sample Research,This cohort study assesses changes in adherence to National Inpatient Sample (NIS) methodological standards among research studies since the original publication of the checklist of best practices.,10.1001/jamanetworkopen.2025.55753,https://doi.org/10.1001/jamanetworkopen.2025.55753
2026-01-27,队列研究,Geriatric Syndromes and Mortality Among Hospitalized Older Adults,"Objective: To measure the prevalence of geriatric syndromes upon hospital admission and examine the independent association between the number of geriatric syndromes and 90-day mortality Design/data: This cohort study used data from the Creating a Hospital Assessment Network in Geriatrics (CHANGE) study, a multicenter, prospective cohort of 43 hospitals, including 38 in Brazil, 1 in Angola, 1 in Chile, 2 in Colombia, and 1 in Portugal.",10.1001/jamanetworkopen.2025.55740,https://doi.org/10.1001/jamanetworkopen.2025.55740
2026-01-27,队列研究,Medicaid Expansion and Overall Mortality Among Women With Breast Cancer,"Objective: To evaluate the association between Medicaid expansion and overall mortality among women with breast cancer and to assess whether survival differs by race and ethnicity, disease stage, income, and treatment modality Design/data: This retrospective, hospital-based cohort study used a National Cancer Database cohort of 1 595 845 women aged 40 to 64 years with breast cancer who received a diagnosis from January 1, 2006, to December 31, 2021.",10.1001/jamanetworkopen.2025.54512,https://doi.org/10.1001/jamanetworkopen.2025.54512
2026-01-27,横断面研究,"Sex Differences in Alzheimer Disease Imaging Biomarkers in a Diverse, Community-Based Cohort","Objective: To examine sex differences in neuroimaging biomarkers of AD-related pathologies in a racially and ethnically diverse cohort Design/data: Data for this cross-sectional study were collected from a community-based sample of adults without cognitive impairment aged 60 to 69 years in New York City from March 1, 2016, to September 31, 2022, and analyzed in March 2025",10.1001/jamanetworkopen.2025.54524,https://doi.org/10.1001/jamanetworkopen.2025.54524
2026-01-28,队列研究,Blood Lead Concentrations and Depressive and Anxiety Symptoms in Childhood,"Objective: To examine associations between low-level, serial blood lead concentrations in children and symptoms of depression and anxiety and to investigate for periods of susceptibility Design/data: This cohort study used data from a prospective population of 218 caregiver-child dyads (218 children and 218 parents in the Health",10.1001/jamanetworkopen.2025.56019,https://doi.org/10.1001/jamanetworkopen.2025.56019
